id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
798003,33,62.200001,1,1,4,3,4,3,3,2,79,53
798004,33,31.114,1,0,4,3,5,3,3,2,89,53
811003,40,65.742996,1,1,2,2,2,2,1,2,34,36
819004,34,56.001999,1,0,3,4,4,5,2,3,67,83
826003,34,63.917,1,0,2,2,2,2,1,1,26,32
826004,34,65.049004,1,0,2,2,2,2,1,1,26,32
832004,34,63.611,1,1,4,3,5,4,3,3,82,74
833003,33,46.972,1,0,1,1,1,1,1,1,8,20
833004,33,52.193001,1,0,1,1,1,1,1,1,18,20
833005,33,53.884998,1,0,2,1,2,1,1,1,27,20
833006,33,54.587002,1,0,2,1,2,1,1,1,31,20
834003,27.5,56.942001,1,1,1,2,2,2,1,1,25,32
835003,34,53.710999,1,0,4,2,5,2,3,1,86,28
835004,34,63.231998,1,0,4,2,5,2,3,1,82,28
835006,34,52.618,1,1,4,2,5,2,3,1,84,28
838003,33,57.201,1,1,2,2,3,3,2,2,45,43
840005,5,7.421,0,0,2,1,2,1,1,1,33,2
840009,5,7.7280002,0,1,1,1,1,1,1,1,8,2
840021,5,6.164,0,1,1,1,1,1,1,1,8,2
844003,42,66.286003,1,0,1,3,2,4,1,3,22,70
846003,4,11.434,0,1,1,1,2,1,1,1,24,13
846005,4,7.9590001,0,0,2,1,3,1,2,1,49,13
846006,4,7.5040002,0,1,1,1,2,1,1,1,24,13
846007,4,8.4639997,0,1,3,1,3,1,2,1,51,13
853003,24.5,51.085999,1,1,4,4,4,5,3,3,77,82
855003,34,60.493999,1,1,4,4,5,5,3,3,89,95
855004,34,58.955002,1,1,4,4,5,5,3,3,98,95
856003,34,53.005001,1,1,4,1,5,1,3,1,93,7
856004,34,52.519001,1,1,2,1,2,1,1,1,33,7
856005,34,56.782001,1,1,2,1,3,1,2,1,42,7
856008,34,56.990002,1,0,2,1,2,1,1,1,33,7
860002,32,52.674,1,1,2,1,3,1,2,1,47,1
863003,32,52.182999,1,0,3,4,3,4,2,3,58,80
863006,32,52.653999,1,1,3,4,4,4,3,3,74,80
863007,32,52.563,1,1,1,4,1,4,1,3,14,80
868004,29,53.069,1,0,4,3,5,3,3,2,96,53
868005,29,50.936001,1,0,2,3,2,3,2,2,35,53
868006,29,52.827,1,1,3,3,3,3,2,2,59,53
875004,27.5,57.773998,1,0,2,4,3,5,2,3,44,96
876003,31,56.570999,1,0,3,3,3,4,2,2,60,65
880003,16,54.360001,1,0,3,3,4,4,3,2,73,65
893003,36,63.069,1,0,4,2,5,2,3,1,92,32
898003,23.5,52.818001,1,0,3,3,3,4,2,3,54,69
898004,23.5,53.584999,1,0,3,3,3,4,2,3,57,69
898005,23.5,51.209,1,1,2,3,3,4,2,3,48,69
904003,34,52.202,1,1,4,3,5,3,3,2,84,56
904004,34,53.095001,1,1,3,3,4,3,3,2,68,56
905003,34,59.278,1,0,2,4,2,4,1,3,27,76
906003,34,53.629002,1,1,2,4,3,5,2,3,49,84
906004,34,53.964001,1,0,3,4,4,5,2,3,61,84
908003,30,50.798,1,1,2,3,2,3,1,2,28,53
908004,30,61.889999,1,0,3,3,4,3,2,2,61,53
908006,30,51.513,1,1,2,3,3,3,2,2,41,53
